,City,Country,Date,Lat,Lng,Max_Temperature,Humidity,Clouds,Wind_Speed
0,busselton,AU,2017-08-23 04:32:16,-33.65,115.33,59.48,100,12,7.4
1,avarua,CK,2017-08-23 04:00:00,-21.21,-159.78,78.8,69,20,3.36
2,honningsvag,NO,2017-08-23 03:50:00,70.98,25.97,44.6,81,75,1.12
3,ribeira grande,PT,2017-08-23 04:32:20,38.52,-28.7,74.96,96,64,17.58
4,tsihombe,MG,2017-08-23 04:32:21,-25.3,45.48,74.42,51,8,9.98
5,mataura,IN,2017-08-23 03:30:00,27.5,77.68,91.4,131,40,4.7
6,normandin,CA,2017-08-23 03:00:00,48.83,-72.53,68,94,40,9.17
7,tasiilaq,GL,2017-08-23 03:50:00,65.61,-37.64,44.6,87,92,5.82
8,punta arenas,CL,2017-08-23 04:00:00,-53.15,-70.92,33.8,74,0,26.4
9,husavik,IS,2017-08-23 04:00:00,66.04,-17.34,48.2,87,90,1.36
10,new norfolk,AU,2017-08-23 04:00:00,-42.78,147.06,48.2,87,75,5.82
11,hami,CN,2017-08-23 04:32:29,42.8,93.45,79.55,42,0,4.38
12,cherskiy,RU,2017-08-23 04:32:30,68.75,161.3,57.23,59,56,2.93
13,hermanus,ZA,2017-08-23 04:32:31,-34.42,19.23,47.42,85,12,8.86
14,navahrudak,BY,2017-08-23 04:32:32,53.6,25.83,56.87,87,48,10.42
15,pevek,RU,2017-08-23 04:32:33,69.7,170.31,49.67,87,0,1.92
16,marsh harbour,BS,2017-08-23 04:32:35,26.54,-77.06,84.05,100,80,15.68
17,nikolskoye,RU,2017-08-23 04:00:00,59.68,30.67,59,93,90,4.47
18,lasa,IT,2017-08-23 03:50:00,46.62,10.7,50,93,0,2.24
19,vestmanna,FO,2017-08-23 03:50:00,62.16,-7.17,51.8,81,56,10.29
20,kodiak,US,2017-08-23 03:53:00,57.79,-152.41,66.2,45,1,8.05
21,ushuaia,AR,2017-08-23 04:00:00,-54.8,-68.3,35.6,64,40,14.99
22,albany,US,2017-08-23 04:03:00,42.65,-73.76,71.6,88,90,4.7
23,tomatlan,MX,2017-08-23 04:32:42,19.93,-105.25,77.21,92,88,1.25
24,oistins,BB,2017-08-23 04:00:00,13.07,-59.53,77,100,20,5.82
25,taganak,PH,2017-08-23 03:00:00,6.08,118.3,82.4,83,75,3.36
26,fukue,JP,2017-08-23 04:32:46,32.69,128.84,85.85,96,68,12.21
27,pombas,CV,2017-08-23 04:32:47,17.15,-25.02,75.86,100,100,11.99
28,nabire,ID,2017-08-23 04:32:48,-3.37,135.48,78.11,82,32,2.37
29,coxim,BR,2017-08-23 04:32:49,-18.51,-54.76,66.95,81,0,7.63
30,rikitea,PF,2017-08-23 04:32:50,-23.12,-134.97,69.29,100,92,9.98
31,georgetown,GY,2017-08-23 04:00:00,6.8,-58.16,77,94,0,2.24
32,khonsa,IN,2017-08-23 04:32:53,27.02,95.57,84.41,82,76,2.15
33,matay,EG,2017-08-23 04:32:54,28.42,30.78,81.26,46,0,10.87
34,melilla,ES,2017-08-23 04:00:00,35.29,-2.94,75.2,88,75,2.24
35,saldanha,ZA,2017-08-23 04:00:00,-33.01,17.94,42.8,87,20,2.24
36,tostamaa,EE,2017-08-23 04:32:57,58.4,24.23,59.93,100,64,12.44
37,nara,PK,2017-08-23 04:00:00,33.59,73.39,86,66,40,6.93
38,rio brilhante,BR,2017-08-23 04:32:59,-21.8,-54.55,65.15,90,12,9.86
39,siguiri,GN,2017-08-23 04:33:01,11.42,-9.17,70.01,98,88,7.96
40,vaini,TO,2017-08-23 04:00:00,-21.2,-175.2,71.6,73,90,20.71
41,sola,VU,2017-08-23 03:00:00,-13.88,167.55,78.8,88,90,8.05
42,poum,NC,2017-08-23 04:33:04,-20.23,164.02,72.98,100,20,19.48
43,araouane,ML,2017-08-23 04:33:05,18.9,-3.53,73.16,93,12,6.73
44,kapaa,US,2017-08-23 03:56:00,22.08,-159.32,86,74,75,13.87
45,qaanaaq,GL,2017-08-23 04:33:07,77.48,-69.36,33.56,94,0,3.94
46,kutum,SD,2017-08-23 04:33:09,14.2,24.67,70.91,79,12,6.4
47,atuona,PF,2017-08-23 04:33:10,-9.8,-139.03,79.73,100,92,18.37
48,bandarbeyla,SO,2017-08-23 04:33:11,9.49,50.81,79.19,87,8,31
49,bathsheba,BB,2017-08-23 04:00:00,13.22,-59.52,77,100,20,5.82
50,champerico,GT,2017-08-23 04:33:13,14.3,-91.92,74.96,100,20,2.04
51,vestmannaeyjar,IS,2017-08-23 04:33:14,63.44,-20.27,44.81,98,0,6.62
52,bluff,NZ,2017-08-23 04:33:15,-46.6,168.33,53.63,90,0,18.81
53,marystown,CA,2017-08-23 04:33:17,47.17,-55.15,58.58,96,8,5.84
54,grindavik,IS,2017-08-23 04:00:00,63.84,-22.43,46.4,93,0,2.24
55,arraial do cabo,BR,2017-08-23 04:32:51,-22.97,-42.03,66.41,94,92,9.53
56,butaritari,KI,2017-08-23 04:33:20,3.07,172.79,84.32,100,0,11.65
57,mar del plata,AR,2017-08-23 04:00:00,-38,-57.56,53.6,81,0,10.29
58,east london,ZA,2017-08-23 04:00:00,-33.02,27.91,53.6,100,0,17.22
59,ponta do sol,PT,2017-08-23 04:00:00,32.67,-17.1,73.4,60,20,25.28
60,thompson,CA,2017-08-23 04:00:00,55.74,-97.86,37.4,100,40,2.24
61,san luis,AR,2017-08-23 04:33:25,-33.3,-66.34,62.18,31,44,14
62,musafirkhana,IN,2017-08-23 04:33:27,26.37,81.8,93.23,77,44,4.61
63,kihei,US,2017-08-23 03:56:00,20.79,-156.47,82.4,65,40,21.92
64,moron,AR,2017-08-23 04:00:00,-34.65,-58.62,60.8,67,0,11.41
65,taolanaro,MG,2017-08-23 04:00:00,-25.02,46.97,66.2,82,20,16.11
66,panixtlahuaca,MX,2017-08-23 04:33:31,16.25,-97.38,69.2,100,64,1.36
67,pak phanang,TH,2017-08-23 03:00:00,8.35,100.2,86,74,20,2.24
68,aljezur,PT,2017-08-23 04:33:33,37.32,-8.8,62.9,97,0,8.86
69,susurluk,TR,2017-08-23 03:50:00,39.91,28.16,62.6,88,20,5.95
70,buraydah,SA,2017-08-23 04:00:00,26.33,43.98,89.6,33,5,6.93
71,puerto ayora,EC,2017-08-23 04:33:37,-0.74,-90.35,66.86,100,12,9.86
72,mladenovac,RS,2017-08-23 04:00:00,44.44,20.7,55.4,76,0,5.82
73,illoqqortoormiut,IT,2017-08-23 03:50:00,41.9,12.49,62.6,59,0,1.12
74,barentsburg,DE,2017-08-23 04:08:00,52.62,8.8,46.4,100,20,3.36
75,lekoni,GA,2017-08-23 04:33:41,-1.58,14.26,67.13,99,92,1.92
76,christchurch,NZ,2017-08-23 04:00:00,-43.53,172.63,53.6,66,0,12.75
77,airai,IN,2017-08-23 04:33:43,25.35,82.47,93.5,71,12,3.38
78,kaihua,CN,2017-08-23 04:33:45,23.37,104.28,76.31,94,36,3.71
79,gao,ML,2017-08-23 04:33:46,16.27,-0.04,79.46,75,8,8.75
80,salalah,OM,2017-08-23 03:50:00,17.02,54.09,80.6,88,75,6.93
81,victoria,CA,2017-08-23 04:15:00,48.43,-123.37,66.2,72,1,10.29
82,pipar,IN,2017-08-23 04:33:49,26.39,73.54,89,81,20,5.95
83,jablah,SY,2017-08-23 04:00:00,35.36,35.93,77,78,40,4.7
84,kalmunai,LK,2017-08-23 04:33:51,7.42,81.82,89.18,68,44,3.94
85,saleaula,IN,2017-08-23 04:33:52,31.5,75.75,83.51,100,80,7.07
86,jomalig,PH,2017-08-23 04:33:54,14.71,122.37,82.79,100,80,22.28
87,hithadhoo,MV,2017-08-23 04:33:55,-0.6,73.08,84.41,100,64,9.75
88,saint george,US,2017-08-23 03:56:00,37.1,-113.58,84.2,25,1,5.82
89,klaksvik,FO,2017-08-23 03:50:00,62.23,-6.59,51.8,81,24,10.29
90,kibre mengist,ET,2017-08-23 04:33:58,5.88,38.98,61.73,92,92,3.15
91,ruatoria,NZ,2017-08-23 04:33:59,-38.37,178.3,49.94,90,88,5.39
92,nacala,MZ,2017-08-23 04:34:00,-14.54,40.67,75.41,95,0,4.5
93,san cristobal,VE,2017-08-23 04:00:00,7.77,-72.22,75.2,83,75,4.7
94,lebu,CL,2017-08-23 04:34:03,-37.62,-73.65,52.01,100,92,18.48
95,henties bay,NA,2017-08-23 04:34:04,-22.12,14.28,51.83,100,0,1.14
96,kieta,PG,2017-08-23 04:34:05,-6.22,155.63,80.45,97,92,7.18
97,san vicente,AR,2017-08-23 04:34:06,-26.62,-54.13,62.9,75,0,8.08
98,comodoro rivadavia,AR,2017-08-23 04:00:00,-45.87,-67.5,42.8,52,0,26.4
99,ancud,CL,2017-08-23 04:34:08,-41.87,-73.82,41.75,97,80,8.19
100,kollumerland,NL,2017-08-23 03:55:00,53.28,6.15,59,87,56,10.29
101,ryotsu,JP,2017-08-23 04:00:00,38.08,138.43,84.2,70,75,13.87
102,badou,TG,2017-08-23 04:34:12,7.58,0.6,70.82,100,92,5.39
103,morondava,MG,2017-08-23 04:34:13,-20.28,44.28,76.76,85,0,3.6
104,bud,US,2017-08-23 03:55:00,39.45,-86.18,69.8,82,1,8.05
105,puerto el triunfo,SV,2017-08-23 03:50:00,13.28,-88.55,78.8,94,0,2.24
106,sfantu gheorghe,RO,2017-08-23 04:00:00,44.65,26.83,60.8,87,0,3.36
107,meulaboh,ID,2017-08-23 04:34:17,4.14,96.13,84.68,96,8,5.5
108,honiara,SB,2017-08-23 04:00:00,-9.43,159.95,78.8,88,75,4.7
109,kristiansund,NO,2017-08-23 03:50:00,63.11,7.73,48.2,87,56,3.36
110,kuryk,KZ,2017-08-23 04:34:21,43.2,51.65,82.07,39,0,19.82
111,souillac,MU,2017-08-23 04:00:00,-20.52,57.52,69.8,88,40,4.7
112,rennes,FR,2017-08-23 04:00:00,48.11,-1.67,62.6,93,90,9.17
113,jamestown,US,2017-08-23 04:04:00,42.1,-79.24,66.2,87,20,8.05
114,soyo,AO,2017-08-23 04:34:25,-6.13,12.37,69.38,94,92,3.38
115,grand river south east,MU,2017-08-23 04:00:00,-20.29,57.78,69.8,88,40,4.7
116,marcona,PE,2017-08-23 04:34:27,-15.37,-75.16,58.31,100,88,8.75
117,el alto,PE,2017-08-23 04:34:29,-4.27,-81.21,65.96,92,0,7.07
118,bulolo,PG,2017-08-23 04:34:30,-7.2,146.65,75.14,64,20,1.48
119,djambala,CG,2017-08-23 04:34:31,-2.54,14.75,68.39,95,76,4.94
120,baghdad,IQ,2017-08-23 04:00:00,33.34,44.4,84.2,32,0,10.29
121,tabiauea,PH,2017-08-23 04:34:33,8.15,123.84,80.54,93,80,2.26
122,pisco,PE,2017-08-23 04:00:00,-13.7,-76.22,60.8,77,0,5.82
123,sao filipe,CV,2017-08-23 04:34:35,14.9,-24.5,77.75,100,32,11.77
124,vanimo,PG,2017-08-23 04:34:36,-2.67,141.3,83.87,100,20,13.22
125,walvis bay,NA,2017-08-23 04:00:00,-22.96,14.51,46.4,75,0,4.16
126,lagoa,PT,2017-08-23 04:34:39,39.05,-27.98,74.15,100,76,12.66
127,arona,ES,2017-08-23 04:00:00,28.1,-16.68,86,17,0,12.75
128,trincomalee,LK,2017-08-23 04:34:41,8.57,81.23,91.16,58,56,13.56
129,kulu,TR,2017-08-23 04:34:42,39.1,33.08,67.49,65,0,11.21
130,beitbridge,ZW,2017-08-23 04:34:43,-22.22,30,57.68,59,0,2.71
131,birao,CF,2017-08-23 04:34:44,10.28,22.79,74.15,90,44,6.17
132,shingu,JP,2017-08-23 04:00:00,33.73,135.98,89.6,75,40,8.05
133,jiwani,PK,2017-08-23 04:34:47,25.05,61.74,88.37,70,0,6.73
134,martapura,ID,2017-08-23 03:00:00,-3.42,114.85,86,66,20,5.82
135,veselynove,UA,2017-08-23 04:00:00,47.36,31.23,53.6,87,0,6.71
136,san andres,CO,2017-08-23 04:00:00,12.58,-81.7,84.2,83,40,9.17
137,elat,CM,2017-08-23 04:34:51,2.9,11.15,68.39,98,92,2.59
138,lugazi,UG,2017-08-23 04:00:00,0.38,32.92,64.4,93,20,9.17
139,dutse,NG,2017-08-23 04:34:54,11.76,9.34,70.37,98,92,6.96
140,inhambane,MZ,2017-08-23 04:34:55,-23.86,35.38,68.66,88,0,8.52
141,faya,ZA,2017-08-23 04:34:56,-29.34,30.63,52.28,23,0,2.93
142,codrington,AU,2017-08-23 04:34:57,-38.27,141.97,52.55,100,36,15.12
143,atasu,KZ,2017-08-23 04:34:58,48.68,71.64,76.76,43,0,12.77
144,impfondo,CG,2017-08-23 04:34:59,1.64,18.07,71.81,97,92,2.93
145,saint-philippe,RE,2017-08-23 04:00:00,-21.36,55.77,71.6,64,20,4.7
146,marzuq,SD,2017-08-23 04:35:02,14.25,32.99,84.14,66,0,13.11
147,kabalo,CD,2017-08-23 04:35:03,-6.05,26.92,80,62,44,13.67
148,hovd,MN,2017-08-23 04:35:04,48.01,91.64,63.08,42,0,4.72
149,beira,MZ,2017-08-23 04:00:00,-19.84,34.84,59,100,20,3.36
150,luanda,AO,2017-08-23 04:00:00,-8.84,13.23,68,88,90,3.36
151,alofi,NU,2017-08-23 03:00:00,-19.06,-169.92,82.4,61,40,3.36
152,netanya,IL,2017-08-23 03:50:00,32.33,34.86,80.6,74,40,4.7
153,pathein,MM,2017-08-23 04:35:10,16.78,94.73,83.33,88,92,7.96
154,zhezkazgan,KZ,2017-08-23 04:35:11,47.78,67.77,79.01,38,0,13
155,falealupo,FI,2017-08-23 03:50:00,60.22,24.78,48.2,93,75,5.82
156,cockburn town,TC,2017-08-23 04:35:13,21.46,-71.14,82.88,100,88,15.79
157,bambous virieux,MU,2017-08-23 04:00:00,-20.34,57.76,69.8,88,40,4.7
158,bubaque,GW,2017-08-23 04:35:15,11.28,-15.83,75.32,100,92,13.56
159,san bartolome de tirajana,ES,2017-08-23 04:00:00,27.92,-15.57,86,20,20,23.04
160,aflu,DZ,2017-08-23 04:35:18,34.11,2.1,62.81,69,0,2.71
161,ajdabiya,LY,2017-08-23 04:31:40,30.76,20.23,75.23,69,0,8.52
162,rungata,FI,2017-08-23 03:50:00,60.25,24.07,48.2,93,75,5.82
163,agadez,NE,2017-08-23 04:35:21,19.75,10.25,80.9,44,88,3.6
164,vaitupu,BO,2017-08-23 04:00:00,-17.8,-63.17,68,52,0,17.22
165,pointe-noire,CG,2017-08-23 04:00:00,-4.78,11.86,69.8,94,75,2.24
166,poya,NC,2017-08-23 04:35:24,-21.35,165.15,70.64,100,0,20.71
167,umm jarr,SD,2017-08-23 04:35:25,13.8,32.41,83.06,72,0,10.76
168,karakose,TR,2017-08-23 03:50:00,36.07,36.09,80.6,69,0,16.11
169,adrar,DZ,2017-08-23 04:00:00,27.87,-0.29,86,9,0,11.41
170,perpignan,FR,2017-08-23 04:00:00,42.7,2.9,68,94,0,4.7
171,longyearbyen,SJ,2017-08-23 03:50:00,78.22,15.64,39.2,93,75,2.59
172,pyinmana,MM,2017-08-23 04:35:31,19.73,96.22,83.69,81,20,5.06
173,gaoua,BF,2017-08-23 04:35:33,10.3,-3.25,70.46,99,92,6.96
174,miquelon,PM,2017-08-23 04:35:34,47.1,-56.38,61.19,93,68,2.71
175,laguna de perlas,NI,2017-08-23 04:35:35,12.34,-83.67,80.45,100,64,7.85
176,marawi,PH,2017-08-23 04:35:36,8,124.29,71.99,97,76,0.92
177,miraflores,CO,2017-08-23 04:35:37,1.34,-71.95,71.99,95,32,2.15
178,dingle,PH,2017-08-23 04:35:38,11,122.67,84.86,73,76,9.98
179,nouakchott,MR,2017-08-23 04:35:40,18.09,-15.98,78.83,100,0,17.92
180,harper,LR,2017-08-23 04:35:41,4.38,-7.72,76.58,100,88,10.76
181,mizdah,LY,2017-08-23 04:35:42,31.45,12.98,69.74,77,0,4.27
182,rocha,UY,2017-08-23 04:32:02,-34.48,-54.33,50.48,71,0,13.67
183,asau,RO,2017-08-23 04:00:00,46.43,26.4,53.6,93,0,2.24
184,kananga,CD,2017-08-23 04:35:45,-5.9,22.42,70.55,91,0,4.05
185,lithakia,GR,2017-08-23 03:50:00,37.72,20.83,71.6,88,20,9.42
186,turbat,PK,2017-08-23 04:35:48,26,63.04,91.16,55,0,4.61
187,witu,KE,2017-08-23 04:35:49,-2.39,40.44,80.45,65,32,11.21
188,saint-francois,FR,2017-08-23 04:00:00,46.42,3.91,59,87,0,3.49
189,benguela,AO,2017-08-23 04:35:51,-12.58,13.41,64.88,100,0,1.7
190,bargal,IQ,2017-08-23 04:35:52,37,43.25,83.24,22,0,2.37
191,lixourion,GR,2017-08-23 03:50:00,38.2,20.43,71.6,88,20,8.63
192,omboue,GA,2017-08-23 04:35:54,-1.57,9.26,74.15,100,88,5.95
193,sur,OM,2017-08-23 04:35:55,22.57,59.53,86.03,91,32,9.42
194,abu samrah,SY,2017-08-23 04:35:57,35.17,37.25,79.91,64,0,12.77
195,san jose,US,2017-08-23 03:56:00,37.34,-121.89,69.8,77,20,9.17
196,mwandiga,TZ,2017-08-23 03:00:00,-4.83,29.66,64.4,82,0,3.71
197,plouzane,FR,2017-08-23 04:00:00,48.38,-4.62,60.8,100,75,3.36
198,manadhoo,MV,2017-08-23 04:36:01,5.77,73.38,84.41,97,64,13.78
199,mizan teferi,ET,2017-08-23 04:36:02,6.98,35.58,64.25,90,92,1.7
200,hobyo,SO,2017-08-23 04:36:03,5.35,48.53,80.27,72,64,19.6
201,umm lajj,SA,2017-08-23 04:36:04,25.02,37.27,91.43,62,0,7.63
202,lata,PT,2017-08-23 04:00:00,40.16,-8.33,64.4,93,75,3.36
203,edea,CM,2017-08-23 04:00:00,3.8,10.13,73.4,100,40,3.36
204,isangel,VU,2017-08-23 04:36:08,-19.55,169.27,73.07,100,44,16.46
205,bilma,NE,2017-08-23 04:36:09,18.69,12.92,80.45,41,12,2.82
206,funtua,NG,2017-08-23 04:36:10,11.52,7.31,69.92,99,92,4.83
207,polis,CY,2017-08-23 04:00:00,35.04,32.43,77,73,40,3.36
208,maicao,CO,2017-08-23 04:36:12,11.38,-72.24,82.7,83,12,13.78
209,baruun-urt,MN,2017-08-23 04:36:14,46.68,113.28,61.28,66,24,19.04
210,loandjili,CG,2017-08-23 04:00:00,-4.76,11.86,69.8,94,75,2.24
211,buenos aires,AR,2017-08-23 04:00:00,-34.61,-58.38,60.8,62,0,9.17
212,jacqueville,CI,2017-08-23 04:00:00,5.21,-4.41,71.6,94,20,3.36
213,manbij,SY,2017-08-23 03:50:00,36.53,37.95,75.2,60,0,11.41
214,kerns,CH,2017-08-23 03:50:00,46.9,8.28,60.8,93,90,3.36
215,mount darwin,ZW,2017-08-23 04:36:20,-16.77,31.58,64.61,55,0,2.71
216,luderitz,NA,2017-08-23 03:00:00,-26.65,15.16,51.8,66,0,8.05
217,chuy,UY,2017-08-23 04:36:23,-33.7,-53.46,56.51,89,0,16.69
218,khuzdar,PK,2017-08-23 04:36:24,27.74,66.64,85.49,56,0,3.6
219,urk,NL,2017-08-23 03:55:00,52.66,5.6,59,87,20,10.29
220,tiznit,MA,2017-08-23 04:36:26,29.58,-9.5,71.72,68,44,2.71
221,kaohsiung,TW,2017-08-23 04:00:00,22.62,120.31,91.4,55,75,17.22
222,kasongo,CD,2017-08-23 04:36:28,-4.45,26.67,74.33,75,8,4.72
223,medea,DZ,2017-08-23 04:00:00,36.26,2.75,60.8,87,0,1.12
224,dietikon,CH,2017-08-23 04:00:00,47.4,8.4,60.8,93,0,1.92
225,lashio,MM,2017-08-23 04:36:32,22.93,97.75,80.45,80,20,2.59
226,paoua,CF,2017-08-23 04:36:33,7.24,16.44,69.56,93,76,4.61
227,bayan,CN,2017-08-23 04:36:34,46.08,127.4,80.81,42,0,11.65
228,abhar,IR,2017-08-23 04:36:35,36.15,49.22,82.16,31,0,3.83
229,bileca,BA,2017-08-23 04:00:00,42.87,18.43,68,37,0,12.75
230,naftah,EE,2017-08-23 03:50:00,59.44,24.75,50,100,20,2.24
231,kirakira,SB,2017-08-23 04:36:38,-10.45,161.92,79.28,100,80,18.48
232,kapit,MY,2017-08-23 04:36:40,2.02,112.93,91.97,53,32,2.93
233,mersing,MY,2017-08-23 04:36:41,2.43,103.84,82.88,100,48,8.19
234,el faiyum,EG,2017-08-23 04:36:42,29.31,30.84,80.81,59,0,7.74
235,takoradi,GH,2017-08-23 04:36:43,4.88,-1.76,74.51,100,88,7.52
236,manta,EC,2017-08-23 04:00:00,-0.95,-80.73,73.4,94,75,6.93
237,san pedro,PH,2017-08-23 04:00:00,14.35,121.02,89.6,66,75,8.05
238,male,MV,2017-08-23 03:00:00,4.17,73.51,82.4,83,75,4.27
239,mana,GF,2017-08-23 04:36:47,5.66,-53.78,76.58,90,8,2.93
240,hagere selam,ET,2017-08-23 04:36:49,6.48,38.52,64.7,81,80,3.83
241,samusu,CN,2017-08-23 04:36:50,41.43,128.03,72.71,63,88,5.17
242,uyuni,BO,2017-08-23 04:36:51,-20.46,-66.83,18.53,51,0,3.49
243,halalo,NP,2017-08-23 04:36:52,28.38,82.17,81.35,83,76,2.93
244,gazanjyk,TM,2017-08-23 04:36:53,39.24,55.52,81.08,16,0,11.88
245,blagodatnoye,RU,2017-08-23 04:00:00,45.4,42.59,69.8,73,20,11.18
246,abasha,GE,2017-08-23 04:00:00,42.21,42.22,77,78,40,3.36
247,atakpame,TG,2017-08-23 04:36:57,7.53,1.13,70.01,99,92,3.15
248,riyadh,SA,2017-08-23 04:00:00,24.69,46.72,89.6,17,5,9.17
